type,passmark,finalmark,subject,subject_author,subject_code,teachers,
1,24,60,CALCULUS-I,N/A,MTH-301,14,
0,16,40,DISCRETE STRUCTURES ,N/A,MTH-303,11,
1,24,60,INTRODUCTION TO STATISTICAL THEORY-I,N/A,STA-322,24,
1,24,60,FUNCTIONAL ENGLISH,N/A,ENG-321,32,
1,24,60,FUNDAMENTALS OF ELECTRICITY & MAGENTISM,N/A,PHY-322,24,
0,16,40,ISLAMIC STUDIES,N/A,ISL-321,36,
0,8,20,TRANSLATION OF THE HOLY QURAN-I,N/A,ISL-311,29,
0,16,40,ETHICS (FOR NON MUSLIMS ONLY),N/A,ISL-322,36,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
