Student ID,Date,Student Roll,Challan No,Amount
1060400123,19/09/2023,HND01192047,230500232,8437
1060400123,19/09/2023,HND01192047,230600216,8437
1040400193,19/09/2023,DPT01192009,230901184,9102
1060400107,19/09/2023,HND01192030,230500216,10312
1060400107,19/09/2023,HND01192030,230600200,10312
1060400107,19/09/2023,HND01192030,230901242,3393
1060400093,19/09/2023,HND01192015,230901229,1488
1060400107,19/09/2023,HND01192030,230400216,10312
1040400194,19/09/2023,DPT01192010,230901185,4000
1040400221,19/09/2023,DPT01192041,230901208,11510
1060400100,19/09/2023,HND01192022,230901235,2084
1040400221,19/09/2023,DPT01192041,230201253,2223
