Student ID,Date,Student Roll,Challan No,Amount
1210100449,27-03-23,Fall2000449,230300092,4500
1210100460,27-03-23,Fall2000460,230300099,4500
1120400104,27-03-23,RIT01192009,230300567,8750
1020400068,27-03-23,BSBIO01192009,230300225,6250
1040600159,27-03-23,DPT01182040,230300192,7800
1080400086,27-03-23,MLT01192039,230201570,2500
1210100487,27-03-23,Fall2000487,230300105,4500
1210100535,27-03-23,Fall2000535,230300123,4500
1110400046,27-03-23,PSYC01192024,230300532,6187
1110400045,27-03-23,PSYC01192023,230300531,6187
1210100527,27-03-23,Fall2000527,230101890,6999
1210100768,27-03-23,Fall2200768,230101547,7000
1070400022,27-03-23,BSIT01192014,230300370,7530
1040600147,27-03-23,DPT01182022,230300180,8745
1040600140,27-03-23,DPT01182014,230300173,9150
1080400086,27-03-23,MLT01192039,230300430,9250
1080400071,27-03-23,MLT01192020,230300415,9250
1080400071,27-03-23,MLT01192020,230400291,9250
1080400071,27-03-23,MLT01192020,230500291,9250
1080400071,27-03-23,MLT01192020,230600275,9250
1210100777,27-03-23,Fall2100777,230101229,13752
