Student ID,Date,Student Roll,Challan No,Amount,,,
1060200150,26/12/2023,HND01202025,231100585,11750,,,
1060200170,26/12/2023,HND01202045,231100597,12250,,,
1060200168,26/12/2023,HND01202043,231100987,13750,,,
1210101137,26/12/2023,Fall2201137,231100066,18875,,,
1210100086,26/12/2023,Fall2100086,231200660,15502,,,
1080200140,26/12/2023,MLT01202043,240100333,9437,,,
1080200140,26/12/2023,MLT01202043,231200395,9437,,,
1210100201,26/12/2023,Fall2100201,231200669,16252,,,
1210100020,26/12/2023,Fall2100020,231200650,17002,,,
1210100148,26/12/2023,Fall2100148,240200553,15502,,,
1210100148,26/12/2023,Fall2100148,231200668,15502,,,
1210100148,26/12/2023,Fall2100148,240100586,15502,,,
1210100044,26/12/2023,Fall2100044,231200639,14335,,,
1210100044,26/12/2023,Fall2100044,240100557,14335,,,
1210100192,26/12/2023,Fall2100192,231200620,8335,,,
1210100665,26/12/2023,Fall2100665,22072444,8000,,,
1210100665,26/12/2023,Fall2100665,230301216,8000,,,
1210100665,26/12/2023,Fall2100665,230401329,8000,,,
1210100665,26/12/2023,Fall2100665,230501243,8000,,,
1210100665,26/12/2023,Fall2100665,220610023,8000,,,
1210101005,26/12/2023,Fall2201005,231100259,21000,,,
1210100416,26/12/2023,Fall2100416,230501219,8333,,,
1210100416,26/12/2023,Fall2100416,22050003,8334,,,
1060400113,26/12/2023,HND01192036,231200768,100,,,
